"SAGDP2N Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"51000","Virginia",217251.9,233095.5,249798.3,266886.4,284001.9,293275.9,309981.2,332250.6,360299.8,379129.4,392917.3,399032.1,408918.7,422902.0,432392.7,444950.0,455070.0,463781.7,484690.5,493699.5,510586.1
"53000","Washington",193897.6,210205.0,230554.9,237831.8,239425.7,248189.1,258262.8,270115.2,296100.7,317167.2,346442.8,355677.8,353632.0,365551.9,379539.0,400863.3,419345.0,442442.4,469944.0,492251.4,524322.7
"54000","West Virginia",38839.7,40086.1,41831.0,42606.9,43977.6,45433.7,46667.9,49271.7,53259.0,56530.0,58635.8,62066.7,62957.8,65274.1,68524.9,69399.0,71037.6,72027.1,70413.6,70191.4,74047.4
"55000","Wisconsin",153240.7,162523.0,172258.1,180539.0,187939.3,194813.1,203134.7,215138.9,225697.9,235708.6,243766.7,244759.9,245539.0,254354.1,263881.6,274343.9,282384.6,293519.4,304763.9,312203.7,321373.3
"56000","Wyoming",14724.3,14928.2,15710.9,17205.4,18660.7,19115.6,21027.5,23186.7,27177.6,32405.1,36602.5,42540.4,36042.2,37401.2,39370.7,38431.7,38922.5,39372.3,37764.1,35984.2,38036.8
"91000","New England",489155.6,514166.9,542834.3,590719.9,610358.0,627332.9,651259.2,693897.0,725250.8,763509.5,799843.5,813172.3,813921.4,839958.3,857725.2,889223.3,907187.5,934940.0,983517.7,1010081.8,1042692.2
"92000","Mideast",1627119.8,1699551.6,1799489.4,1904911.1,1993334.1,2046227.7,2116127.8,2238502.8,2364793.2,2485301.1,2588309.7,2627297.9,2676977.9,2788427.9,2852655.9,2993044.9,3069981.2,3205017.2,3331261.6,3432641.4,3572706.4
"93000","Great Lakes",1382867.1,1457511.9,1538276.7,1613515.1,1638932.3,1695545.3,1754840.2,1837593.2,1916168.3,1985254.5,2055383.1,2045768.6,1997381.1,2080946.6,2167413.4,2252275.7,2324457.2,2426464.7,2509779.8,2565711.1,2650837.3
"94000","Plains",560926.9,587493.8,613249.8,653313.9,670896.1,697439.8,734780.4,781914.4,821556.1,857209.6,904920.4,933096.3,927356.4,964315.6,1008777.1,1057845.4,1093825.6,1139792.1,1170741.0,1185959.6,1218907.1
"95000","Southeast",1829512.4,1947923.5,2076000.4,2179924.8,2272536.7,2364078.3,2490897.1,2674952.2,2886987.1,3057556.9,3154165.3,3192943.0,3141617.9,3239783.9,3324966.0,3431042.1,3537434.4,3671403.6,3844307.0,3958969.3,4117792.7
"96000","Southwest",874281.6,920980.7,973835.7,1049508.2,1097234.1,1123889.5,1190654.7,1294631.2,1412879.9,1548035.3,1666371.1,1740145.8,1635084.6,1722307.3,1840829.1,1940752.8,2048478.5,2138148.8,2142068.3,2146477.6,2254424.1
"97000","Rocky Mountain",257845.5,279030.1,300928.4,327980.8,339694.4,348673.0,362639.7,384547.0,419773.0,453644.7,487224.8,506501.2,487727.7,503727.4,525409.1,540442.4,565638.5,595221.2,617693.0,636771.6,667560.1
"98000","Far West",1489302.8,1590268.0,1720712.1,1866556.6,1892552.9,1965635.5,2084276.0,2231723.6,2409928.3,2581433.9,2709616.6,2762534.6,2670721.9,2748671.5,2853616.7,2979149.5,3124531.4,3296885.1,3508004.0,3657705.0,3847307.1
"Legend / Footnotes:"
"1/ Gross Domestic Product (GDP) is in millions of current dollars (not adjusted for inflation). Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data."
"* The difference between the United States and sum-of-states reflects overseas activity, economic activity taking place outside the borders of the United States by the military and associated federal civilian support staff."
"Last updated: November 14, 2018; revised statistics for 1997-2017."
