REGION,DIVISION,STATE,NAME,SEX,ORIGIN,RACE,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
3,6,01,Alabama,1,0,2,537530,538795,541736,543961,547635,551123,556584,565542,571152,577562,583504,586864,588483
3,6,01,Alabama,1,0,3,11594,11750,12178,12671,13154,13566,14031,14571,15008,15633,16196,16793,16854
3,6,01,Alabama,1,0,4,15179,15375,16047,17020,18080,19472,20771,21981,23122,24086,25653,26241,26365
3,6,01,Alabama,1,0,5,822,866,1082,1255,1480,1668,1852,2115,2277,2542,2721,2969,2971
3,6,01,Alabama,1,0,6,17390,17603,18775,19969,21219,22533,23983,25463,26951,28645,30331,31470,31732
3,6,01,Alabama,1,1,0,2103448,2105469,2109450,2112343,2120877,2128979,2143111,2166023,2181290,2196499,2210995,2216405,2218813
3,6,01,Alabama,1,1,1,1526385,1526743,1526185,1524987,1527793,1530095,1536529,1548231,1555756,1562282,1568357,1569042,1569557
3,6,01,Alabama,1,1,2,534062,535274,538069,540038,543496,546710,551811,560325,565599,571562,577049,579967,581540
3,6,01,Alabama,1,1,3,10911,10993,11143,11336,11530,11664,11839,12057,12198,12439,12573,12810,12848
3,6,01,Alabama,1,1,4,14870,15059,15663,16605,17609,18923,20177,21333,22373,23384,24794,25296,25418
3,6,01,Alabama,1,1,5,525,529,578,609,679,709,744,837,868,958,956,1053,1055
3,6,01,Alabama,1,1,6,16695,16871,17812,18768,19770,20878,22011,23240,24496,25874,27266,28237,28395
3,6,01,Alabama,1,2,0,43112,43869,48688,53376,58545,63893,70271,77478,84275,91450,98784,103783,104504
3,6,01,Alabama,1,2,1,37660,38206,42135,45856,50061,54415,59632,65598,71299,77199,83017,86809,87355
3,6,01,Alabama,1,2,2,3468,3521,3667,3923,4139,4413,4773,5217,5553,6000,6455,6897,6943
3,6,01,Alabama,1,2,3,683,757,1035,1335,1624,1902,2192,2514,2810,3194,3623,3983,4006
3,6,01,Alabama,1,2,4,309,316,384,415,471,549,594,648,749,702,859,945,947
3,6,01,Alabama,1,2,5,297,337,504,646,801,959,1108,1278,1409,1584,1765,1916,1916
3,6,01,Alabama,1,2,6,695,732,963,1201,1449,1655,1972,2223,2455,2771,3065,3233,3337
3,6,01,Alabama,2,0,0,2300647,2302835,2309496,2314370,2324069,2337857,2356423,2385480,2407275,2430257,2448159,2459548,2461981
3,6,01,Alabama,2,0,1,1631516,1631926,1633067,1633436,1637225,1643262,1653282,1669227,1680950,1692660,1701870,1707026,1707553
3,6,01,Alabama,2,0,2,621458,622659,625667,627711,630763,635252,640478,649939,656468,664051,668803,672360,673858
3,6,01,Alabama,2,0,3,11373,11512,11906,12295,12766,13189,13575,14095,14658,15089,15629,16110,16154
3,6,01,Alabama,2,0,4,16963,17169,17924,18790,19849,21240,22635,24049,25332,26597,28094,28999,29145
3,6,01,Alabama,2,0,5,712,742,881,1017,1145,1315,1438,1595,1719,1901,2075,2239,2231
3,6,01,Alabama,2,0,6,18625,18827,20051,21121,22321,23599,25015,26575,28148,29959,31688,32814,33040
3,6,01,Alabama,2,1,0,2267938,2269688,2272462,2273567,2279142,2288466,2301872,2325116,2340898,2357998,2370425,2377729,2379638
3,6,01,Alabama,2,1,1,1604178,1604285,1602254,1599464,1599903,1602170,1607868,1618826,1625403,1632261,1637009,1638923,1639059
