State Code,State,Year Code,Month Code,Deaths
45,South Carolina,2007,2007/01,25
45,South Carolina,2007,2007/02,20
45,South Carolina,2007,2007/03,24
45,South Carolina,2007,2007/04,21
45,South Carolina,2007,2007/05,22
45,South Carolina,2007,2007/06,20
45,South Carolina,2007,2007/07,29
45,South Carolina,2007,2007/08,22
45,South Carolina,2007,2007/09,33
45,South Carolina,2007,2007/10,31
45,South Carolina,2007,2007/11,34
45,South Carolina,2007,2007/12,30
45,South Carolina,2008,2008/01,33
45,South Carolina,2008,2008/02,30
45,South Carolina,2008,2008/03,28
45,South Carolina,2008,2008/04,20
45,South Carolina,2008,2008/05,27
45,South Carolina,2008,2008/06,33
45,South Carolina,2008,2008/07,32
45,South Carolina,2008,2008/08,32
45,South Carolina,2008,2008/09,29
45,South Carolina,2008,2008/10,27
45,South Carolina,2008,2008/11,27
45,South Carolina,2008,2008/12,25
45,South Carolina,2009,2009/01,30
45,South Carolina,2009,2009/02,28
45,South Carolina,2009,2009/03,34
45,South Carolina,2009,2009/04,22
45,South Carolina,2009,2009/05,32
45,South Carolina,2009,2009/06,28
45,South Carolina,2009,2009/07,38
45,South Carolina,2009,2009/08,38
45,South Carolina,2009,2009/09,38
45,South Carolina,2009,2009/10,32
45,South Carolina,2009,2009/11,29
45,South Carolina,2009,2009/12,28
45,South Carolina,2010,2010/01,36
45,South Carolina,2010,2010/02,42
45,South Carolina,2010,2010/03,30
45,South Carolina,2010,2010/04,37
45,South Carolina,2010,2010/05,36
45,South Carolina,2010,2010/06,38
45,South Carolina,2010,2010/07,34
45,South Carolina,2010,2010/08,25
45,South Carolina,2010,2010/09,26
45,South Carolina,2010,2010/10,29
45,South Carolina,2010,2010/11,27
45,South Carolina,2010,2010/12,33
45,South Carolina,2011,2011/01,42
45,South Carolina,2011,2011/02,26
45,South Carolina,2011,2011/03,37
45,South Carolina,2011,2011/04,29
45,South Carolina,2011,2011/05,35
45,South Carolina,2011,2011/06,31
45,South Carolina,2011,2011/07,51
45,South Carolina,2011,2011/08,33
45,South Carolina,2011,2011/09,39
45,South Carolina,2011,2011/10,38
45,South Carolina,2011,2011/11,28
45,South Carolina,2011,2011/12,37
45,South Carolina,2012,2012/01,32
45,South Carolina,2012,2012/02,37
45,South Carolina,2012,2012/03,36
45,South Carolina,2012,2012/04,38
45,South Carolina,2012,2012/05,40
45,South Carolina,2012,2012/06,37
45,South Carolina,2012,2012/07,33
45,South Carolina,2012,2012/08,33
